Id,SalePrice
1461,123835.13789680536
1462,159486.0338556907
1463,175074.1628146643
1464,188939.41884257307
1465,187649.1151045996
1466,178863.204333495
1467,174567.57753067272
1468,168202.76614057287
1469,187752.35270791157
1470,122978.81343515243
1471,204066.77055411745
1472,92302.8620838326
1473,98280.64295679815
1474,157224.80335754954
1475,131323.1079193853
1476,393453.9440981327
1477,243455.47997570166
1478,295556.20153610135
1479,266413.08954310697
1480,492022.1807497277
1481,304513.78155048384
1482,205838.08262088784
1483,171018.76658977603
1484,168987.27366854946
1485,174799.22903204043
1486,194040.22135678533
1487,336457.3191430858
1488,226820.24720461984
1489,193926.62112314242
1490,223657.6661348497
1491,193874.3895015829
1492,85940.08551085892
1493,193369.15037300828
1494,287790.0911267771
1495,275684.21544800384
1496,238902.808042423
1497,187089.46471235147
1498,164054.9591072409
1499,165257.20150551404
1500,160347.85433977304
1501,173522.2385269431
1502,160599.39582184397
1503,289122.4055958763
1504,234869.11846948712
1505,221588.535100237
1506,169449.87012327014
1507,210790.81997461978
1508,221518.89476891936
1509,159828.19759684897
1510,151057.1399999755
1511,139015.9220287927
1512,165288.2957159284
1513,148396.7271754396
1514,170697.43711070114
1515,199270.28700298307
1516,150691.94263964007
1517,162234.6656093105
1518,129952.28875450918
1519,226853.87983924735
1520,132753.65338154876
1521,132753.54045668442
1522,166637.9176685962
1523,112552.421783856
1524,124273.46329168041
1525,122177.44166835643
1526,120149.84819470941
1527,104520.1599273392
1528,134916.34084964884
1529,149770.44237320966
1530,180664.40648075627
1531,101818.2204549712
1532,102201.91570221786
1533,134227.07577486406
1534,119940.39494301671
1535,153906.77620671052
1536,111147.4248738519
1537,67897.69498955202
1538,180513.34224741175
1539,236211.66701788674
1540,90209.84085780322
1541,142967.77456797616
1542,139551.03724995715
1543,208574.87412798434
1544,78715.87800174227
1545,102418.18207992284
1546,128730.49377970997
1547,134470.40559296653
1548,129209.456510583
1549,116198.59892330547
1550,138215.78436763425
1551,104250.53173226472
1552,127845.23593493302
1553,156336.28519033847
1554,111312.93255515434
1555,171723.8885777654
1556,76021.0594193028
1557,107361.43965249987
1558,92543.9074135305
1559,89086.83964965321
1560,143845.71234227612
1561,138173.08684594362
1562,129929.19033206302
1563,121262.4363135801
1564,152795.10638722364
1565,147531.1925577474
1566,248101.95149519306
1567,65503.795332742884
